user_id,amount,date,merchant,ip,label
user15,25,10/10/2025 08:00,MusicStore,192.168.15.120,0
user4,9.99,11/10/2025 14:40,AppStore,192.168.4.15,1
user10,12,11/10/2025 10:00,GameStore,192.168.10.70,0
user23,8.2,12/10/2025 05:20,AppStore,192.168.23.200,0
user6,5.3,10/10/2025 03:15,MusicStore,192.168.6.30,1
user1,15.5,10/10/2025 10:00,GameStore,192.168.1.1,0
user17,12,12/10/2025 08:00,BookStore,192.168.17.140,0
user11,5.2,12/10/2025 06:02,AppStore,192.168.11.80,1
user20,10,12/10/2025 09:00,MusicStore,192.168.20.170,0
user8,20,12/10/2025 05:00,BookStore,192.168.8.50,0
user3,35,11/10/2025 08:10,BookStore,192.168.3.10,0
user19,15,11/10/2025 16:00,GameStore,192.168.19.160,0
user14,18,12/10/2025 07:00,AppStore,192.168.14.110,0
user7,15.2,11/10/2025 02:10,GameStore,192.168.7.40,1
user16,8.1,11/10/2025 09:10,GameStore,192.168.16.130,0
user12,30,10/10/2025 12:00,BookStore,192.168.12.90,0
user5,25,12/10/2025 06:00,GameStore,192.168.5.20,0
user21,5.2,10/10/2025 04:10,BookStore,192.168.21.180,1
user9,8,10/10/2025 09:00,MusicStore,192.168.9.60,0
user13,12,11/10/2025 15:10,GameStore,192.168.13.100,0
user18,20,10/10/2025 13:00,AppStore,192.168.18.150,0
user2,9.5,10/10/2025 09:30,MusicStore,192.168.2.5,0
user22,30,11/10/2025 03:00,GameStore,192.168.22.190,1
user4,18,11/10/2025 14:00,AppStore,192.168.4.15,0
user11,5,12/10/2025 06:00,AppStore,192.168.11.80,1
user10,8.5,11/10/2025 10:05,GameStore,192.168.10.70,1
user10,8.6,11/10/2025 10:06,GameStore,192.168.10.70,1
user10,8.7,11/10/2025 10:07,GameStore,192.168.10.70,1
user10,8.8,11/10/2025 10:08,GameStore,192.168.10.70,1
user10,8.9,11/10/2025 10:09,GameStore,192.168.10.70,1
user10,9,11/10/2025 10:10,GameStore,192.168.10.70,1
user6,5,10/10/2025 03:00,MusicStore,192.168.6.30,1
user23,8,12/10/2025 05:00,AppStore,192.168.23.200,0
user17,14,12/10/2025 08:10,BookStore,192.168.17.140,0
user3,10,11/10/2025 08:20,BookStore,192.168.3.10,0
user1,20,10/10/2025 10:15,GameStore,192.168.1.1,0
user8,22,12/10/2025 05:10,BookStore,192.168.8.50,0
user19,17,11/10/2025 16:10,GameStore,192.168.19.160,0
user12,32,10/10/2025 12:10,BookStore,192.168.12.90,0
user14,20,12/10/2025 07:10,AppStore,192.168.14.110,0
user5,30,12/10/2025 06:10,GameStore,192.168.5.20,0
user21,5.1,10/10/2025 04:05,BookStore,192.168.21.180,1
user9,8.1,10/10/2025 09:10,MusicStore,192.168.9.60,0
user13,14,11/10/2025 15:20,GameStore,192.168.13.100,0
user18,22,10/10/2025 13:10,AppStore,192.168.18.150,0
user2,8.5,10/10/2025 09:10,MusicStore,192.168.2.5,0
user22,31,11/10/2025 03:05,GameStore,192.168.22.190,1
user4,20,11/10/2025 14:10,AppStore,192.168.4.15,0
user11,5.3,12/10/2025 06:03,AppStore,192.168.11.80,1
user10,14,11/10/2025 10:10,GameStore,192.168.10.70,0
user6,5.1,10/10/2025 03:05,MusicStore,192.168.6.30,1
user23,8.1,12/10/2025 05:10,AppStore,192.168.23.200,0
user17,16,12/10/2025 08:20,BookStore,192.168.17.140,0
user3,15,11/10/2025 08:30,BookStore,192.168.3.10,0
user1,25,10/10/2025 10:30,AppStore,192.168.1.1,0
user8,25,12/10/2025 05:20,BookStore,192.168.8.50,0
user19,19,11/10/2025 16:20,GameStore,192.168.19.160,0
user12,35,10/10/2025 12:20,BookStore,192.168.12.90,0
user14,22,12/10/2025 07:20,AppStore,192.168.14.110,0
user5,35,12/10/2025 06:20,GameStore,192.168.5.20,0
user21,5,10/10/2025 04:00,BookStore,192.168.21.180,1
user9,8.2,10/10/2025 09:20,MusicStore,192.168.9.60,0
user13,10,11/10/2025 15:00,GameStore,192.168.13.100,0
user18,25,10/10/2025 13:20,AppStore,192.168.18.150,0
user2,12.25,10/10/2025 09:00,MusicStore,192.168.2.5,0
user7,15,11/10/2025 02:00,GameStore,192.168.7.40,1
